Execution time: 5.324202060699463s
Cluster #1: 161.71622693445872
Cluster #2: 158.36811861708102
Cluster #3: 238.6616954706524
Cluster #4: 157.09825143064063
Cluster #5: 116.58192479459231
Cluster #6: 195.0044809761275
Cluster #7: 103.31055095624684
Cluster #8: 101.48561606462297
Cluster #9: 103.1960111565658
Cluster #10: 105.16435148907489
Cluster #11: 403.78676770881845
Cluster #12: 135.69160903071358
Cluster #13: 135.11085293710434
Cluster #14: 131.98228348279883
Cluster #15: 121.84194241556003
Cluster #16: 109.82643398802763
Cluster #17: 119.57498555889535
Cluster #18: 181.7051626026129
Cluster #19: 144.8195105468066
Cluster #20: 140.62529064820208
Cluster #21: 105.8979593005557
Cluster #22: 109.5021512463936
Cluster #23: 125.00860911532764
Cluster #24: 129.12423233779268
Cluster #25: 111.75041916888712
Cluster #26: 96.13995350668411
Cluster #27: 134.05707169034298
Cluster #28: 121.9303548994347
Cluster #29: 95.40909102550688
Cluster #30: 140.9291557578235
Cluster #31: 136.72194901209627
Cluster #32: 333.49118053333194
