Execution time: 37.66490602493286s
Cluster #1: 107.36099554061582
Cluster #2: 105.09298548703362
Cluster #3: 160.79245698941583
Cluster #4: 96.50631420893251
Cluster #5: 147.66926236796448
Cluster #6: 100.89819988993187
Cluster #7: 115.07380768896849
Cluster #8: 798.7236704537402
Cluster #9: 159.49548568240016
Cluster #10: 189.9136578224757
Cluster #11: 507.8129505017931
Cluster #12: 163.4874764155564
Cluster #13: 204.39916591943123
Cluster #14: 106.90774695209959
Cluster #15: 80.39141419654824
Cluster #16: 192.10449942764882
Cluster #17: 553.857196554177
Cluster #18: 195.61024636251668
Cluster #19: 105.53454213980591
Cluster #20: 188.53041026748852
