Execution time: 910.6170330047607s
Cluster #1: 127.54150482895494
Cluster #2: 615.1535704932414
Cluster #3: 236.18029961811914
Cluster #4: 210.4177404480232
Cluster #5: 116.9483184783157
Cluster #6: 162.63302368846854
Cluster #7: 138.47624818034328
Cluster #8: 131.47799111786512
Cluster #9: 187.2542442898804
Cluster #10: 305.0938783435559
Cluster #11: 138.59029247211015
Cluster #12: 180.34028958228745
Cluster #13: 161.4551719554131
Cluster #14: 136.96313422896662
Cluster #15: 142.11658866368015
Cluster #16: 232.04666787175594
Cluster #17: 196.0350967455695
Cluster #18: 116.6581791385614
Cluster #19: 122.82179019648787
Cluster #20: 136.07129040039493
